Class,precision,recall,f1-score,support
First Class,0.45827814569536424,0.4785615491009682,0.46820027063599456,1446.0
Same Day,0.13836477987421383,0.08396946564885496,0.10451306413301663,524.0
Second Class,0.3208309290248125,0.2786967418546366,0.2982832618025751,1995.0
Standard Class,0.7836183900831634,0.836656056290836,0.8092691622103387,5969.0
accuracy,0.6327763237366619,0.6327763237366619,0.6327763237366619,0.6327763237366619
macro avg,0.42527306116938846,0.4194709532238239,0.42006643969548124,9934.0
weighted avg,0.6092862107046998,0.6327763237366619,0.6198293913302796,9934.0
